tick,time_ms,pressure,snn_sra_mean,ospf_te_t5_mean
0,0,0.0,0.0,1.0
1,10,0.0,1.0,0.0
2,20,0.0,1.0,0.0
3,30,0.0,1.0,0.0
4,40,0.0,0.6,0.0
5,50,0.0,1.0,1.0
6,60,0.0,1.0,0.0
7,70,0.0,1.0,0.0
8,80,0.0,0.6,0.0
9,90,0.0,1.0,0.0
10,100,0.0,1.0,1.0
11,110,0.0,0.0,0.0
12,120,0.0,0.0,0.0
13,130,0.0,0.0,0.0
14,140,0.0,0.0,0.0
15,150,0.0,0.0,1.0
16,160,0.0,0.0,0.0
17,170,0.0,0.0,0.0
18,180,0.0,0.0,0.0
19,190,0.0,0.0,0.0
20,200,0.0,0.0,1.0
21,210,0.0,0.0,0.0
22,220,0.0,0.0,0.0
23,230,0.0,0.0,0.0
24,240,0.0,0.0,0.0
25,250,0.0,0.0,1.0
26,260,0.0,0.0,0.0
27,270,0.0,0.0,0.0
28,280,0.0,0.0,0.0
29,290,0.0,0.0,0.0
30,300,0.0,0.0,1.0
31,310,0.0,0.0,0.0
32,320,0.0,0.0,0.0
33,330,0.225,0.0,0.0
34,340,0.44999999999999996,0.0,0.0
35,350,0.675,0.0,1.0
36,360,0.9,0.0,0.0
37,370,1.125,0.0,0.0
38,380,1.35,0.0,0.0
39,390,1.575,1.0,0.0
40,400,1.8,0.0,1.0
41,410,1.8,0.0,0.0
42,420,1.8,0.0,0.0
43,430,1.8,1.0,0.0
44,440,1.8,0.0,0.0
45,450,1.8,0.0,1.0
46,460,1.8,0.0,0.0
47,470,1.8,1.0,0.0
48,480,1.8,0.0,0.0
49,490,1.8,0.0,0.0
50,500,1.8,0.0,1.0
51,510,1.8,1.0,0.0
52,520,1.8,0.0,0.0
53,530,1.8,0.0,0.0
54,540,1.8,0.0,0.0
55,550,1.8,1.0,1.0
56,560,1.8,0.0,0.0
57,570,1.8,0.0,0.0
58,580,1.8,0.0,0.0
59,590,1.7325000000000002,1.0,0.0
60,600,1.665,0.0,1.0
61,610,1.5975000000000001,0.0,0.0
62,620,1.5300000000000002,0.0,0.0
63,630,1.4625000000000001,1.0,0.0
64,640,1.3950000000000002,0.0,0.0
65,650,1.3275000000000003,0.0,1.0
66,660,1.2600000000000005,0.0,0.0
67,670,1.1925000000000003,1.0,0.0
68,680,1.1250000000000004,0.0,0.0
69,690,1.0575000000000006,0.0,0.0
70,700,0.9900000000000005,0.0,1.0
71,710,0.9225000000000005,1.0,0.0
72,720,0.8550000000000005,0.0,0.0
73,730,0.7875000000000006,0.0,0.0
74,740,0.7200000000000006,0.0,0.0
75,750,0.6525000000000007,1.0,1.0
76,760,0.5850000000000007,0.0,0.0
77,770,0.5175000000000007,0.0,0.0
78,780,0.4500000000000008,0.0,0.0
79,790,0.3825000000000008,1.0,0.0
80,800,0.3150000000000008,0.0,1.0
81,810,0.24750000000000077,0.0,0.0
82,820,0.18000000000000077,0.0,0.0
83,830,0.11250000000000075,1.0,0.0
84,840,0.04500000000000074,0.0,0.0
85,850,0.0,0.0,1.0
86,860,0.0,0.0,0.0
87,870,0.0,1.0,0.0
88,880,0.0,0.0,0.0
89,890,0.0,0.0,0.0
